"id","accuracy","auc","precision","recall","f1","layers"
"145","0.978571428571428","0.966666666666667","0.972727272727273","1","1","5-5-1"
"146","1","1","1","1","1","5-5-2"
"147","0.985714285714286","0.968888888888889","0.981666666666667","1","1","5-5-3"
"148","0.985714285714286","0.973333333333333","0.980778032036613","1","1","5-5-4"
"149","1","1","1","1","1","5-6-1"
"150","0.985714285714286","0.95","0.984615384615385","1","1","5-6-2"
"151","1","1","1","1","1","5-6-3"
"152","0.992857142857143","0.98","0.991666666666667","1","1","5-6-4"
"153","0.985714285714286","0.985042735042735","0.99","0.992307692307692","1","5-7-1"
"154","0.992857142857143","0.966666666666667","0.992307692307692","1","1","5-7-2"
"155","0.992857142857143","0.985714285714286","0.990909090909091","1","1","5-7-3"
"156","0.978571428571428","0.97","0.971428571428572","1","1","5-7-4"
"157","0.992857142857143","0.985714285714286","0.990909090909091","1","1","5-8-1"
"158","1","1","1","1","1","5-8-2"
"159","0.992857142857143","0.9875","0.990476190476191","1","1","5-8-3"
"160","0.992857142857143","0.9875","0.990476190476191","1","1","5-8-4"
"161","0.942857142857143","0.883333333333333","0.941304347826087","1","0.933333333333333","6-1-1"
"162","0.985714285714286","0.966666666666667","0.982608695652174","1","1","6-1-2"
"163","1","1","1","1","1","6-1-3"
"164","0.992857142857143","0.995652173913043","1","0.991304347826087","1","6-1-4"
"165","0.985714285714286","0.985652173913043","0.989473684210526","0.991304347826087","1","6-2-1"
"166","0.985714285714286","0.984541062801932","0.99","0.991304347826087","1","6-2-2"
"167","0.985714285714286","0.966666666666667","0.983333333333333","1","1","6-2-3"
"168","0.978571428571428","0.966666666666667","0.970952380952381","1","1","6-2-4"
"169","0.985714285714286","0.955555555555555","0.982307692307692","1","1","6-3-1"
"170","0.992857142857143","0.99","0.989473684210526","1","1","6-3-2"
"171","0.992857142857143","0.988888888888889","0.99","1","1","6-3-3"
"172","1","1","1","1","1","6-3-4"
"173","0.978571428571429","0.970833333333333","0.981818181818182","0.991666666666667","1","6-4-1"
"174","1","1","1","1","1","6-4-2"
"175","0.985714285714286","0.952380952380952","0.983216783216783","1","1","6-4-3"
"176","1","1","1","1","1","6-4-4"
"177","0.985714285714286","0.97962962962963","0.991304347826087","0.992592592592593","1","6-5-1"
"178","0.992857142857143","0.985714285714286","0.990909090909091","1","1","6-5-2"
"179","1","1","1","1","1","6-5-3"
