"","accuracy","auc","precision","recall","specificity","f1","V1"
"2864","0.735714285714286","0.591307526061531","0.816705516705517","0.838726163234172","0.343888888888889","0.826162948615704","13-11-14"
"2865","0.771428571428572","0.666970324361629","0.849437229437229","0.867908902691511","0.466031746031746","0.854277660324172","13-11-15"
"2866","0.735714285714286","0.603442028985507","0.817701863354037","0.871169772256729","0.335714285714286","0.833253240746303","13-12-1"
"2867","0.792857142857143","0.621305728088337","0.840779220779221","0.910230503795721","0.332380952380952","0.87219383157831","13-12-2"
"2868","0.75","0.661559154295996","0.85244461420932","0.817086562560247","0.506031746031746","0.832145432510226","13-12-3"
"2869","0.75","0.577957814496716","0.813713343187027","0.878772771850575","0.277142857142857","0.841209962245768","13-12-4"
"2870","0.814285714285714","0.688918128654971","0.850458179501658","0.913947368421053","0.463888888888889","0.880096392474997","13-12-5"
"2871","0.75","0.675533596837945","0.858277144850035","0.806067193675889","0.545","0.829562948118119","13-12-6"
"2872","0.742857142857143","0.554565217391304","0.800826086956522","0.889130434782609","0.22","0.84216596944207","13-12-7"
"2873","0.814285714285714","0.708909423909424","0.866588744588745","0.898771228771229","0.519047619047619","0.880199118407053","13-12-8"
"2874","0.678571428571429","0.52935441370224","0.789808259373477","0.802042160737813","0.256666666666667","0.790689002340364","13-12-9"
"2875","0.8","0.699759552042161","0.867599067599068","0.881185770750988","0.518333333333333","0.872597071108132","13-12-10"
"2876","0.764285714285714","0.674806740170585","0.84","0.859613480341169","0.49","0.846141246460395","13-12-11"
"2877","0.742857142857143","0.646995986469671","0.842582345191041","0.827325306272675","0.466666666666667","0.832186158418644","13-12-12"
"2878","0.778571428571429","0.686482683982684","0.858553993679852","0.865822510822511","0.507142857142857","0.858125440451022","13-12-13"
"2879","0.771428571428571","0.642957839262187","0.839761904761905","0.872582345191041","0.413333333333333","0.854005270092226","13-12-14"
"2880","0.792857142857143","0.736429547188128","0.870284406668846","0.86119242770959","0.611666666666667","0.863291924677808","13-12-15"
"2881","0.8","0.615546772068511","0.823809523809524","0.964426877470356","0.266666666666667","0.883309529345335","13-13-1"
"2882","0.742857142857143","0.62445652173913","0.83609022556391","0.833913043478261","0.415","0.833518889413019","13-13-2"
"2883","0.735714285714286","0.615721187025535","0.815428571428571","0.878426501035197","0.353015873015873","0.837037535390912","13-13-3"
"2884","0.721428571428571","0.601548451548451","0.817927097057532","0.829287379287379","0.373809523809524","0.818481149790553","13-13-4"
"2885","0.742857142857143","0.631601731601732","0.838974412315373","0.834632034632035","0.428571428571429","0.834535435158165","13-13-5"
"2886","0.764285714285714","0.698859141284973","0.850974025974026","0.856354646206309","0.541363636363636","0.847361847531519","13-13-6"
"2887","0.742857142857143","0.607928194993412","0.829942791762014","0.844189723320158","0.371666666666667","0.835063560595906","13-13-7"
"2888","0.757142857142857","0.675212121212121","0.847989836250706","0.843757575757576","0.506666666666667","0.842347997976339","13-13-8"
"2889","0.735714285714286","0.591055163160426","0.838549783549783","0.832110326320853","0.35","0.830669763840496","13-13-9"
"2890","0.757142857142857","0.681537176274018","0.83592132505176","0.867836257309942","0.495238095238095","0.846111111111111","13-13-10"
"2891","0.764285714285714","0.693653872824353","0.854584980237154","0.848974412315373","0.538333333333333","0.846950274153904","13-13-11"
"2892","0.7","0.612955486542443","0.83038961038961","0.770910973084886","0.455","0.798012927334242","13-13-12"
"2893","0.792857142857143","0.694318181818182","0.856385281385281","0.881493506493507","0.507142857142857","0.866875952942687","13-13-13"
"2894","0.735714285714286","0.628492534036012","0.840455304928989","0.816985068072025","0.44","0.825552797949158","13-13-14"
"2895","0.764285714285714","0.645700425305688","0.846234707321664","0.852511961722488","0.438888888888889","0.848477633477633","13-13-15"
"2896","0.807142857142857","0.718096872616323","0.875889328063241","0.886193745232647","0.55","0.877210648589747","13-14-1"
"2897","0.728571428571429","0.614258241758242","0.825228684359119","0.824945054945055","0.403571428571429","0.823599861230523","13-14-2"
"2898","0.778571428571429","0.676718614718615","0.851544830455585","0.877246753246753","0.476190476190476","0.85908777213125","13-14-3"
"2899","0.778571428571429","0.623441558441558","0.836379446640316","0.890930735930736","0.355952380952381","0.862304775328031","13-14-4"
"2900","0.75","0.612898676203024","0.829047619047619","0.855321161929858","0.370476190476191","0.839383342835603","13-14-5"
"2901","0.728571428571429","0.627454545454545","0.838024917365878","0.804909090909091","0.45","0.818237095859331","13-14-6"
"2902","0.771428571428571","0.614266892527762","0.830512370077587","0.890438546960286","0.338095238095238","0.857272350837568","13-14-7"
